"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"d:\VS experiments\canasta\lib\button.dart", "Dart", 0, 0, 0, -1, -1
"d:\VS experiments\canasta\lib\canasta_button.dart", "Dart", 0, 21, 0, 4, 25
"d:\VS experiments\canasta\lib\canasta_text.dart", "Dart", 0, 24, 0, 4, 28
"d:\VS experiments\canasta\lib\checkbox_container.dart", "Dart", 0, 8, -1, -1, 6
"d:\VS experiments\canasta\lib\global.dart", "Dart", 0, 7, 0, 2, 9
"d:\VS experiments\canasta\lib\main.dart", "Dart", 0, 115, -1, 2, 116
"d:\VS experiments\canasta\lib\rounds_chart.dart", "Dart", 0, 115, 6, 5, 126
"d:\VS experiments\canasta\lib\team_container.dart", "Dart", 0, -24, -1, -1, -26
"d:\VS experiments\canasta\lib\text.dart", "Dart", 0, 0, 0, -1, -1
"d:\VS experiments\canasta\lib\textfield_container.dart", "Dart", 0, 4, -1, 0, 3
"d:\VS experiments\canasta\lib\titled_container.dart", "Dart", 0, 13, 1, 0, 14
"d:\VS experiments\canasta\lib_01\main01.dart", "Dart", 0, -140, -1, -11, -152
"d:\VS experiments\canasta\pubspec.yaml", "YAML", 6, 0, 0, 1, 7
"Total", "-", 6, 143, 2, 3, 154
