Date : 2024-08-01 21:34:58
Directory : d:\VS experiments\canasta
Total : 56 files,  2318 codes, 224 comments, 331 blanks, all 2873 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         10 |        856 |         27 |         72 |        955 |
| C++        |         16 |        531 |        121 |        182 |        834 |
| XML        |         10 |        463 |         48 |         12 |        523 |
| JSON       |          4 |        248 |          0 |          4 |        252 |
| Groovy     |          3 |         94 |          5 |         22 |        121 |
| Swift      |          6 |         52 |          7 |         20 |         79 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| YAML       |          2 |         23 |          0 |          7 |         30 |
| Properties |          2 |          8 |          0 |          2 |         10 |
| Markdown   |          2 |          5 |          0 |          4 |          9 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                       |         56 |      2,318 |        224 |        331 |      2,873 |
| . (Files)                                                                               |          3 |         25 |          0 |          9 |         34 |
| android                                                                                 |         12 |        161 |         51 |         33 |        245 |
| android (Files)                                                                         |          3 |         46 |          0 |         11 |         57 |
| android\app                                                                             |          8 |        110 |         51 |         21 |        182 |
| android\app (Files)                                                                     |          1 |         51 |          5 |         12 |         68 |
| android\app\src                                                                         |          7 |         59 |         46 |          9 |        114 |
| android\app\src\debug                                                                   |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                    |          5 |         53 |         38 |          7 |         98 |
| android\app\src\main (Files)                                                            |          1 |         27 |          6 |          1 |         34 |
| android\app\src\main\res                                                                |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                       |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                   |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                         |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                   |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                 |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                          |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                  |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                     |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                              |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                      |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                         |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                              |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                           |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                         |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                   |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                     |         10 |        856 |         27 |         72 |        955 |
| linux                                                                                   |          5 |         94 |         27 |         38 |        159 |
| linux (Files)                                                                           |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                           |          2 |          8 |          9 |         11 |         28 |
| macos                                                                                   |          6 |        444 |          5 |         16 |        465 |
| macos\Flutter                                                                           |          1 |          6 |          3 |          4 |         13 |
| macos\Runner                                                                            |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                    |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                       |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                            |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                         |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                 |          1 |        343 |          0 |          1 |        344 |
| web                                                                                     |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                 |         10 |        436 |         94 |        143 |        673 |
| windows\flutter                                                                         |          2 |          8 |          9 |         11 |         28 |
| windows\runner                                                                          |          8 |        428 |         85 |        132 |        645 |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\VS experiments\canasta\README.md                                                     | Markdown   |          2 |          0 |          2 |          4 |
| d:\VS experiments\canasta\analysis_options.yaml                                         | YAML       |          1 |          0 |          1 |          2 |
| d:\VS experiments\canasta\android\app\build.gradle                                      | Groovy     |         51 |          5 |         12 |         68 |
| d:\VS experiments\canasta\android\app\src\debug\AndroidManifest.xml                     | XML        |          3 |          4 |          1 |          8 |
| d:\VS experiments\canasta\android\app\src\main\AndroidManifest.xml                      | XML        |         27 |          6 |          1 |         34 |
| d:\VS experiments\canasta\android\app\src\main\res\drawable-v21\launch_background.xml   | XML        |          4 |          7 |          2 |         13 |
| d:\VS experiments\canasta\android\app\src\main\res\drawable\launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| d:\VS experiments\canasta\android\app\src\main\res\values-night\styles.xml              | XML        |          9 |          9 |          1 |         19 |
| d:\VS experiments\canasta\android\app\src\main\res\values\styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| d:\VS experiments\canasta\android\app\src\profile\AndroidManifest.xml                   | XML        |          3 |          4 |          1 |          8 |
| d:\VS experiments\canasta\android\build.gradle                                          | Groovy     |         27 |          0 |          5 |         32 |
| d:\VS experiments\canasta\android\gradle.properties                                     | Properties |          3 |          0 |          1 |          4 |
| d:\VS experiments\canasta\android\gradle\wrapper\gradle-wrapper.properties              | Properties |          5 |          0 |          1 |          6 |
| d:\VS experiments\canasta\android\settings.gradle                                       | Groovy     |         16 |          0 |          5 |         21 |
| d:\VS experiments\canasta\ios\RunnerTests\RunnerTests.swift                             | Swift      |          7 |          2 |          4 |         13 |
| d:\VS experiments\canasta\ios\Runner\AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| d:\VS experiments\canasta\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| d:\VS experiments\canasta\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON       |         23 |          0 |          1 |         24 |
| d:\VS experiments\canasta\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |          3 |          0 |          2 |          5 |
| d:\VS experiments\canasta\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| d:\VS experiments\canasta\ios\Runner\Base.lproj\Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| d:\VS experiments\canasta\ios\Runner\Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| d:\VS experiments\canasta\lib\canasta_button.dart                                       | Dart       |         21 |          0 |          4 |         25 |
| d:\VS experiments\canasta\lib\canasta_text.dart                                         | Dart       |         24 |          0 |          4 |         28 |
| d:\VS experiments\canasta\lib\checkbox_container.dart                                   | Dart       |         53 |          2 |          5 |         60 |
| d:\VS experiments\canasta\lib\global.dart                                               | Dart       |          7 |          0 |          2 |          9 |
| d:\VS experiments\canasta\lib\main.dart                                                 | Dart       |        332 |         12 |         18 |        362 |
| d:\VS experiments\canasta\lib\rounds_chart.dart                                         | Dart       |        115 |          6 |          5 |        126 |
| d:\VS experiments\canasta\lib\team.dart                                                 | Dart       |         77 |          0 |         17 |         94 |
| d:\VS experiments\canasta\lib\team_container.dart                                       | Dart       |        120 |          2 |          7 |        129 |
| d:\VS experiments\canasta\lib\textfield_container.dart                                  | Dart       |         53 |          2 |          6 |         61 |
| d:\VS experiments\canasta\lib\titled_container.dart                                     | Dart       |         54 |          3 |          4 |         61 |
| d:\VS experiments\canasta\linux\flutter\generated_plugin_registrant.cc                  | C++        |          3 |          4 |          5 |         12 |
| d:\VS experiments\canasta\linux\flutter\generated_plugin_registrant.h                   | C++        |          5 |          5 |          6 |         16 |
| d:\VS experiments\canasta\linux\main.cc                                                 | C++        |          5 |          0 |          2 |          7 |
